コード名,鍵盤の位置 (音名),響きとイメージ,カテゴリ,基準コード,変化,変化後のコード,鍵盤の位置 (音名),響きとイメージ,説明
C (Cメジャー),C（ド）、E（ミ）、G（ソ）,明るく、安定。青空、朝日の光、安心感。,基本コードあ,C (Cメジャー),3度（E）を半音下げる,Cm (Cマイナー),C（ド）、E♭（ミ♭）、G（ソ）,切なく、悲しい。夕暮れ、雨の日、哀愁。,明るい響きが悲しい響きに変わります。
,,,,,5度（G）を半音上げる,Caug (Cオーギュメント),C（ド）、E（ミ）、G♯（ソ♯）,神秘的な浮遊感。宇宙、未来感。,不安定で緊張感があり、次のコードへの期待感を生みます。
,,,,,7度（B）の音を加える,CM7 (Cメジャーセブンス),C（ド）、E（ミ）、G（ソ）、B（シ）,洗練された浮遊感。高級感、上品さ。,洗練された浮遊感が生まれます。
,,,,,7度（B）の音を半音下げる,C7 (Cセブンス),C（ド）、E（ミ）、G（ソ）、B♭（シ♭）,不安定な響き。緊張感、期待感。,不安定な響きになり、次に進むことを促します。
,,,,,3度（E）を4度（F）に置き換える,Csus4 (Cサスフォー),C（ド）、F（ファ）、G（ソ）,不安定ながらも柔らかい響き。曖昧さ。,不安定ながらも柔らかい響きになります。
,,,,,2度（D）の音を加える,Cadd9 (Cアドナインス),C（ド）、E（ミ）、G（ソ）、D（レ）,透明感と爽やかさ。開放感。,透明感と爽やかさが加わります。
,,,,,6度（A）の音を加える,C6 (Cシックス),C（ド）、E（ミ）、G（ソ）、A（ラ）,ノスタルジックで温かい響き。,温かみのある響きで、懐かしさを感じさせます。
,,,,,9度（D）の音を加える,CM9 (Cメジャーナインス),C（ド）、E（ミ）、G（ソ）、B（シ）、D（レ）,非常に洗練された響き。上品で複雑。,複雑で洗練された響きになります。
,,,,,11度（F）の音を加える,CM11 (Cメジャーイレブンス),C（ド）、E（ミ）、G（ソ）、B（シ）、D（レ）、F（ファ）,神秘的で複雑な響き。,非常に複雑で神秘的な響きになります。
Cm (Cマイナー),C（ド）、E♭（ミ♭）、G（ソ）,切なく、悲しい。夕暮れ、雨の日、哀愁。,基本コード,Cm (Cマイナー),5度（G）を半音下げる,Cdim (Cディミニッシュ),C（ド）、E♭（ミ♭）、G♭（ソ♭）,非常に不安定な緊張感。恐怖、不安。,非常に不安定な緊張感が生まれます。
,,,,,7度（B♭）の音を加える,Cm7 (Cマイナーセブンス),C（ド）、E♭（ミ♭）、G（ソ）、B♭（シ♭）,深い悲しみ。夜の静寂。,深い悲しみと静寂感を表現します。
,,,,,6度（A）の音を加える,Cm6 (Cマイナーシックス),C（ド）、E♭（ミ♭）、G（ソ）、A（ラ）,切ない美しさ。映画音楽的。,切ない美しさと映画的な響きがあります。
,,,,,9度（D）の音を加える,Cm9 (Cマイナーナインス),C（ド）、E♭（ミ♭）、G（ソ）、B♭（シ♭）、D（レ）,複雑な悲しみ。大人の感情。,複雑で大人の感情を表現します。
,,,,,5度（G）を半音上げる,Cm+5 (Cマイナーオーギュメント),C（ド）、E♭（ミ♭）、G♯（ソ♯）,不安定な悲しみ。混乱。,不安定で混乱した感情を表現します。
